"","1895","1910","1925","1940","1955","1970","1985","2000","2015"
"Benin",106.421758951631,112.70374859504,117.904835862933,115.739633188308,102.011347818675,80.4319419680901,61.9279226447051,45.7984640043487,30.328122390891
"Burkina Faso",104.470718942294,106.858265365685,109.240457229193,107.166479173945,95.2946266153241,76.3934544147049,60.3829967646309,45.4044335270455,31.1996154389987
"Bangladesh",6.09442015571298,6.27089747184299,6.64161321536247,5.96463782984976,4.89544309606206,3.33392826942582,2.7265349787134,2.13773923525538,1.67567647862311
"Bulgaria",180.976388989073,176.452394042352,174.511906055489,161.583989461263,134.764799599696,110.720948074803,94.3348299084288,57.6765037811164,42.6886236499054
"Bahrain",1041.94616699219,1056.94616699219,1071.94616699219,1086.72119140625,1091.03881835938,1099.56604003906,1108.12878417969,1113.60961914062,1117.15637207031
"The Bahamas",366.325601678146,365.063341642681,361.468741969058,329.00681666324,271.941317909642,219.575644242136,212.788321043316,219.183304636102,230.392061735454
"Bosnia and Herzegovina",291.780418478924,286.906708012456,270.280732030454,264.573674823927,260.094474336375,145.646771244381,130.223832876786,82.2064298702323,90.0742663818857
"Bajo Nuevo Bank (Petrel Is.)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saint Barthelemy",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belarus",495.334590081854,503.50903968287,506.035524183839,516.247945423965,488.886803303184,266.607108239813,263.060666509775,134.433881298526,90.1579602828393
"Belize",31.8514171369148,22.2061573808843,23.0210267558242,23.2363045721343,23.7533508647572,24.0527631008264,23.6851229234175,21.7660314314293,22.9642746159525
"Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bolivia",31.0775562607288,36.6121977284611,43.2600057348306,48.7193696570041,39.1328208106829,49.438007956444,57.4423464085386,63.8891410730587,62.7189583902928
"Brazil",230.536976122713,198.238057613331,155.440864747093,118.260875887746,98.6577027452442,95.9875373978671,85.1155349772631,88.7555425871411,85.6244381065136
"Barbados",705.044738769531,720.044738769531,735.044738769531,750.044738769531,765.044738769531,780.044738769531,783.396850585938,781.445373535156,554.582641601562
"Brunei",136.932138204575,114.935542821884,99.8279078006744,90.9423998594284,86.6908913850784,84.6342051029205,39.6001788377762,44.68683385849,52.0492148399353
"Bhutan",430.098629919149,377.34303607779,293.432172516645,108.40274708958,78.0122813046989,66.3287469896219,66.6146060814292,67.3992102671478,54.0727689448049
"Botswana",341.604969550945,350.087937201983,359.613742375079,357.259968838868,318.392241361995,248.339227132444,202.036689002426,169.594974737992,146.675369909075
"Central African Republic",40.3351291357809,40.8232884730423,42.2458547184705,42.8338902414066,40.5107492631813,39.9932013889717,40.4523124577232,43.5884655777241,47.7744125149841
"Canada",4.12885649730579,5.34404138812201,6.82181901763742,8.56318536416586,10.8511407875865,12.1114764570894,15.3063970175505,18.4055799330507,19.218617714791
"Switzerland",70.5378084309896,55.680546614329,15.124380753835,13.609045232137,16.4422487990061,23.3183290227254,28.8711366271973,30.1987586975098,36.5948971048991
"Chile",148.593339479395,128.885754312788,119.478864300174,119.284017836119,123.56441225992,130.414373496523,60.0502522088491,57.6437444098584,64.3998597210104
"China",228.274633264579,237.179939849027,244.980405324206,240.088575347843,238.063740741687,242.703546186403,248.331195593883,212.36473591213,185.208464012435
"Ivory Coast",21.3256415738746,22.4677461861445,23.6634727442209,24.2038236582223,24.0262172009464,21.92200594217,20.8053306458702,19.3506492586203,18.6249392891714
"Clipperton Island",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cameroon",23.2809025805654,24.7892033261714,26.3144805407603,26.519642802568,21.4206173707084,21.9058457212987,24.4070513628646,26.770992334895,29.8122954022053
